사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
투썸플레이스 강남신사점,커피숍,"서울특별시 강남구 강남대로152길 22, 지상1,2층 (신사동, 신사케이타워)",201810.782530311    ,446133.836142089    
일본수입 디저트 카페 데자토 바이 신키네도 논현점,커피숍,"서울특별시 강남구 논현로113길 12, 지상1층 일부호 (논현동)",202781.420600935    ,445147.507147611    
(주)설빙 압구정로데오점,커피숍,"서울특별시 강남구 압구정로46길 5-2, 원일 2층 (신사동)",203191.25706078     ,447312.903662969    
매머드 익스프레스 동역삼로점,커피숍,"서울특별시 강남구 역삼로 213, 지상1층 101호 (역삼동)",203505.287269495    ,443825.656129277    
카페808,커피숍,"서울특별시 강남구 강남대로 470, 808타워 지상5층 501호 (역삼동)",202144.958698403    ,444682.095846898    
카페 드 바디프랜드(Cafe de Bodyfriend),커피숍,"서울특별시 강남구 양재천로 163, 바디프랜드 도곡타워 1층 (도곡동)",203822.388292808    ,442131.941663523    
메고지고 압구정점,떡카페,"서울특별시 강남구 압구정로 113-22, 미성상가 지하1층 27-5호 (압구정동)",201667.786866215    ,446941.563339336    
에이에이티(AAT)카페,커피숍,"서울특별시 강남구 봉은사로68길 35, 지상1층 (삼성동)",204491.004028031    ,445312.831718846    
메가엠지씨커피 선릉세웅타워점,커피숍,"서울특별시 강남구 선릉로94길 12, 세웅타워 지상1층 (삼성동)",204305.678095703    ,444845.000353557    
메가엠지씨커피 봉은사역점,커피숍,"서울특별시 강남구 봉은사로 541, 지상1층 (삼성동)",205159.792088359    ,445792.211674213    
(주)현대그린푸드 네오플 오토웨이 타워 카페 2호점,커피숍,"서울특별시 강남구 영동대로 417, 오토웨이 타워 지상1층 (대치동)",205564.090602056    ,444887.741602573    
블리스라운드 역삼점,커피숍,"서울특별시 강남구 테헤란로25길 7, 창성재단빌딩 지상2층 (역삼동)",203032.25466393     ,444305.101372331    
메가엠지씨커피영동2교교차로점,커피숍,"서울특별시 강남구 논현로28길 9, 유진빌딩 1층 101호 (도곡동)",203764.786572817    ,442286.229201457    
AS COFFEE(에이에스커피),커피숍,"서울특별시 강남구 선릉로 424, 지상1층 1호 (대치동)",204358.768921815    ,444520.576717408    
포스톤즈(FOURSTONES) 삼성파르나스몰점,커피숍,"서울특별시 강남구 테헤란로 521, 파르나스타워 호텔동 지하1층 R-34,35호 (삼성동)",205314.159889285    ,445204.709309676    
메가엠지씨커피 수서역점,커피숍,"서울특별시 강남구 광평로 280, 로즈데일오피스텔 지하2층 128호 (수서동)",209052.072465426    ,442797.138150563    
주식회사 케어엑스,커피숍,"서울특별시 강남구 도산대로 142, 아이디병원 지하1층 (논현동)",202070.164260035    ,446161.944463499    
에스엔티 카페테리아(SNT CAFETERIA),커피숍,"서울특별시 강남구 도곡로 515, 한도산업사옥 지상1층 (대치동)",205470.119080243    ,444182.363408276    
레벨업PC방 학동점,키즈카페,"서울특별시 강남구 논현로132길 15, 지하1층 (논현동)",202740.203405845    ,445898.026684167    
에이티움 사내카페(ATIUM),커피숍,"서울특별시 강남구 논현로 413, 브릭스타워 지상1층 (역삼동)",203329.026493114    ,443868.344315643    
제이네일(J nail),커피숍,"서울특별시 강남구 선릉로 206, 상가동 1층 117호 (대치동, 동부센트레빌)",204860.005578246    ,443400.359236283    
스타벅스커피 강남대로점,커피숍,"서울특별시 강남구 강남대로 456 (역삼동, 한석타워 지상2층 201호)",202196.546252492    ,444552.179535901    
텐퍼센트커피 강남국기원점,커피숍,"서울특별시 강남구 강남대로94길 55, 지상1층 (역삼동)",202729.953032742    ,444258.940502988    
스타벅스 대치사거리점,커피숍,"서울특별시 강남구 삼성로 402, 1층 (대치동)",205136.934557818    ,444576.067034239    
컴포즈커피 강남포이점,커피숍,"서울특별시 강남구 개포로 223, 우덕빌딩 지상1층 1호,2호 (개포동)",204109.984660728    ,441864.804809873    
웨이 커피 하우스(Way Coffee House),커피숍,"서울특별시 강남구 개포로25길 15, 지상1층 일부호 (개포동)",204174.992632774    ,441979.621004145    
카페안나,커피숍,"서울특별시 강남구 도산대로92길 6, 삼성빌딩 1층 103호 (청담동)",204373.117613098    ,446870.994795997    
이트앤토크,커피숍,"서울특별시 강남구 압구정로75길 30, 1층 (청담동)",204152.485845533    ,447262.531069402    
카페렌토1975,커피숍,"서울특별시 강남구 논현로 662, 지상1층 (논현동)",202711.572138227    ,445670.22681063     
에스엠에이치홀딩스 카페미뇽,커피숍,"서울특별시 강남구 봉은사로 지하 102, 신논현역 지하2층 7,8호 (역삼동)",202760.060078829    ,444938.703012503    
랄프스커피 파르나스몰,커피숍,"서울특별시 강남구 테헤란로 521, 파르나스타워 지하1층 R-18호 (삼성동)",205314.159889285    ,445204.709309676    
스타벅스 신논현역3번출구점,커피숍,"서울특별시 강남구 강남대로 488, 센트럴스퀘어강남 1층 (논현동)",202077.94256829     ,444851.373830073    
보난자커피 코엑스삼성,커피숍,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 I-109호 (삼성동)",205130.591678902    ,445590.096837802    
